sent=7760, configured_rate=20.0/sec
sent=7780, configured_rate=20.0/sec
sent=7800, configured_rate=20.0/sec
sent=7820, configured_rate=20.0/sec
sent=7840, configured_rate=20.0/sec
sent=7860, configured_rate=20.0/sec
sent=7880, configured_rate=20.0/sec
sent=7900, configured_rate=20.0/sec
sent=7920, configured_rate=20.0/sec
sent=7940, configured_rate=20.0/sec
sent=7960, configured_rate=20.0/sec
sent=7980, configured_rate=20.0/sec
sent=8000, configured_rate=20.0/sec
sent=8020, configured_rate=20.0/sec
sent=8040, configured_rate=20.0/sec
sent=8060, configured_rate=20.0/sec
sent=8080, configured_rate=20.0/sec
sent=8100, configured_rate=20.0/sec
sent=8120, configured_rate=20.0/sec
sent=8140, configured_rate=20.0/sec
sent=8160, configured_rate=20.0/sec
sent=8180, configured_rate=20.0/sec
sent=8200, configured_rate=20.0/sec
sent=8220, configured_rate=20.0/sec
sent=8240, configured_rate=20.0/sec
sent=8260, configured_rate=20.0/sec
sent=8280, configured_rate=20.0/sec
sent=8300, configured_rate=20.0/sec
sent=8320, configured_rate=20.0/sec
sent=8340, configured_rate=20.0/sec
sent=8360, configured_rate=20.0/sec
sent=8380, configured_rate=20.0/sec
sent=8400, configured_rate=20.0/sec
sent=8420, configured_rate=20.0/sec
sent=8440, configured_rate=20.0/sec
sent=8460, configured_rate=20.0/sec
sent=8480, configured_rate=20.0/sec
sent=8500, configured_rate=20.0/sec
sent=8520, configured_rate=20.0/sec
sent=8540, configured_rate=20.0/sec
sent=8560, configured_rate=20.0/sec
sent=8580, configured_rate=20.0/sec
sent=8600, configured_rate=20.0/sec
sent=8620, configured_rate=20.0/sec
sent=8640, configured_rate=20.0/sec
sent=8660, configured_rate=20.0/sec
sent=8680, configured_rate=20.0/sec
sent=8700, configured_rate=20.0/sec
sent=8720, configured_rate=20.0/sec
sent=8740, configured_rate=20.0/sec
sent=8760, configured_rate=20.0/sec
sent=8780, configured_rate=20.0/sec
sent=8800, configured_rate=20.0/sec
